total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
267,0.14211535,0.13727485,"[89, 178]","[130, 137]",178
110,0.22130525,0.21612925,"[37, 73]","[56, 54]",73
376,0.1120761,0.1082718,"[126, 250]","[174, 202]",250
111,0.2206991,0.2153126,"[37, 74]","[56, 55]",74
57,0.27949075,0.27422205,"[19, 38]","[29, 28]",38
346,0.11918635,0.11512205,"[116, 230]","[162, 184]",230
283,0.1367651,0.1322317,"[95, 188]","[137, 146]",188
102,0.22825685,0.2228492,"[34, 68]","[51, 51]",68
106,0.22504705,0.21942515,"[35, 71]","[54, 52]",71
83,0.24626585,0.2411641,"[28, 55]","[42, 41]",55
28,0.3394832,0.3356074,"[10, 18]","[14, 14]",18
103,0.2269657,0.221975,"[35, 68]","[52, 51]",68
31,0.33091325,0.3269262,"[11, 20]","[16, 15]",20
120,0.2137437,0.2083727,"[40, 80]","[60, 60]",80
269,0.1413644,0.1366245,"[90, 179]","[131, 138]",179
285,0.1362938,0.13162560000000004,"[95, 190]","[138, 147]",190
238,0.15220255,0.147362,"[80, 158]","[117, 121]",158
131,0.20574165,0.2005254,"[44, 87]","[66, 65]",87
242,0.15080115,0.14590615,"[81, 161]","[119, 123]",161
295,0.13310435,0.1286765,"[99, 196]","[141, 154]",196
134,0.2037302,0.198486,"[45, 89]","[67, 67]",89
272,0.1403628,0.13565335,"[91, 181]","[131, 141]",181
319,0.12624275,0.1220001,"[107, 212]","[152, 167]",212
32,0.32880775,0.32421475,"[11, 21]","[16, 16]",21
481,0.09186135,0.0891024,"[161, 320]","[207, 274]",320
350,0.1182601,0.1141719,"[117, 233]","[162, 188]",233
224,0.1576698,0.15271595,"[75, 149]","[111, 113]",149
438,0.0994401,0.09616945,"[146, 292]","[195, 243]",292
21,0.3652942,0.36011295,"[7, 14]","[11, 10]",14
183,0.1759213,0.17068575,"[61, 122]","[91, 92]",122
95,0.23434345,0.22918195,"[32, 63]","[48, 47]",63
248,0.1486156,0.1437435,"[83, 165]","[120, 128]",165
321,0.1258267,0.121475,"[107, 214]","[151, 170]",214
62,0.2718058,0.2668758,"[21, 41]","[31, 31]",41
70,0.2618353,0.256213,"[23, 47]","[35, 35]",47
41,0.30756415,0.30290325,"[14, 27]","[21, 20]",27
508,0.0876929,0.08516525,"[170, 338]","[216, 292]",338
256,0.145704,0.14095325,"[86, 170]","[126, 130]",170
271,0.1406127,0.13597715,"[91, 180]","[130, 141]",180
204,0.16614495,0.1610112,"[68, 136]","[100, 104]",136
368,0.113961,0.1100459,"[123, 245]","[170, 198]",245
33,0.32681465,0.32157505,"[11, 22]","[17, 16]",22
149,0.1942284,0.18900205,"[50, 99]","[74, 75]",99
365,0.114663,0.1107201,"[122, 243]","[167, 198]",243
432,0.10056275,0.0972324,"[144, 288]","[191, 241]",288
266,0.14236965,0.13760295,"[89, 177]","[129, 137]",177
194,0.17054155,0.1654648,"[65, 129]","[97, 97]",129
316,0.12706095,0.12279965,"[106, 210]","[151, 165]",210
320,0.12603435,0.1217399,"[107, 213]","[153, 167]",213
48,0.2944523,0.28920795,"[16, 32]","[24, 24]",32
441,0.0988884,0.0956487,"[147, 294]","[195, 246]",294
294,0.1335523,0.1289665,"[98, 196]","[142, 152]",196
72,0.2590423,0.25371775,"[24, 48]","[37, 35]",48
215,0.1613105,0.15633935,"[72, 143]","[106, 109]",143
52,0.2879054,0.2822076,"[17, 35]","[26, 26]",35
210,0.1635339,0.1584299,"[70, 140]","[103, 107]",140
303,0.13088755,0.1263811,"[101, 202]","[144, 159]",202
392,0.10859855,0.1048971,"[131, 261]","[177, 215]",261
505,0.088142,0.08558575,"[169, 336]","[216, 289]",336
502,0.08859035,0.08601235,"[168, 334]","[213, 289]",334
461,0.09527475,0.0922779,"[154, 307]","[203, 258]",307
118,0.2154259,0.2098796,"[39, 79]","[60, 58]",79
299,0.13198815,0.12751795,"[100, 199]","[144, 155]",199
119,0.21429685,0.2091221,"[40, 79]","[60, 59]",79
147,0.1955939,0.19019995,"[49, 98]","[73, 74]",98
449,0.09739405,0.09427575,"[150, 299]","[199, 250]",299
341,0.120494,0.1163515,"[114, 227]","[161, 180]",227
