trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,rebalanceDiffRatio,slab_cnt,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU2Q,,521899.1924582751,,0.6938540875,0,50000,0,synth_dynamic_400-002bed8ca24f6c467ecd9e4bb33587c6,0.05,8,0.0,0.02567583750000002,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits,LRU2Q,warm-cold,589553.0961741745,579.0,0.69781125,579,50000,0,synth_dynamic_400-4e53207678c86e25f0f970b57358620b,,8,-0.0039571625,0.02171867500000002,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits-tuned,LRU2Q,warm-cold,641547.2806726288,112.0,0.6932092,112,50000,0,synth_dynamic_400-163bb54d6775c2ee4e7215a9a5856815,,8,0.0006448875000000243,0.026320725000000045,0.004602050000000024
synth_dynamic_400,80000000,0.01,4,8,marginal-hits-tuned,LRU2Q,cold,565657.9719548482,6.0,0.6923154875,6,50000,0,synth_dynamic_400-4d9fad168a9c9db3c22d1608277b76b2,,8,0.0015385999999999456,0.027214437499999966,0.0014754750000000039
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU2Q,,523013.7996631808,,0.6938540875,0,50000,0,synth_dynamic_400-fd89ef674909d8641ac9f9b23e640691,0.02,8,0.0,0.02567583750000002,
synth_dynamic_400,80000000,0.01,4,8,tail-age,LRU2Q,,733188.7195721541,,0.6938540875,0,50000,0,synth_dynamic_400-99a34687db0f2680cc47acdec54ae3df,0.25,8,0.0,0.02567583750000002,
synth_dynamic_400,80000000,0.01,4,8,hits,LRU2Q,,489232.3927688618,,0.6938540875,0,50000,0,synth_dynamic_400-4b8594f056c9b12cf3772ff8a9f601d5,0.1,8,0.0,0.02567583750000002,
synth_dynamic_400,80000000,0.01,4,8,free-mem,LRU2Q,,543564.9076638074,,0.6938540875,0,50000,0,synth_dynamic_400-7bc9b52ee3b5bc054325aa2b44156c46,,8,0.0,0.02567583750000002,
synth_dynamic_400,80000000,0.01,4,8,disabled,LRU2Q,,625018.6103881224,,0.6938540875,0,50000,0,synth_dynamic_400-84afacc1e1f3ebce18636c82e6e92cf4,,8,0.0,0.02567583750000002,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits,LRU2Q,cold,484514.00348683365,93.0,0.6937909625,93,50000,0,synth_dynamic_400-b06c7986c30a71cd3c01080bdda56e98,,8,6.31249999999417e-05,0.025738962499999962,
synth_dynamic_400,80000000,0.01,4,8,free-mem,TINYLFU,,501379.5183097688,,0.6930945375,0,50000,0,synth_dynamic_400-69e61153303e3f73ecf4230dc9837522,,8,0.0,0.026435387499999963,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits-tuned,TINYLFU,,479122.3312305986,135.0,0.6865532875,135,50000,0,synth_dynamic_400-7bbd5dabb6bb852d9b05511b045447da,,8,0.006541250000000054,0.03297663750000002,0.015435949999999976
synth_dynamic_400,80000000,0.01,4,8,tail-age,TINYLFU,,467103.1716093702,506.0,0.68589095,506,50000,0,synth_dynamic_400-829495150c6779e3298214b469065490,0.05,8,0.007203587500000053,0.033638975000000015,
synth_dynamic_400,80000000,0.01,4,8,disabled,TINYLFU,,418940.8991597439,,0.6930945375,0,50000,0,synth_dynamic_400-e61429106e4e5c06419ba8dfb1493869,,8,0.0,0.026435387499999963,
synth_dynamic_400,80000000,0.01,4,8,hits,TINYLFU,,511226.9869502109,,0.6930945375,0,50000,0,synth_dynamic_400-082bdbd70dc6918a7e07a5642d65d1cd,0.1,8,0.0,0.026435387499999963,
synth_dynamic_400,80000000,0.01,4,8,tail-age,TINYLFU,,427845.5297586481,506.0,0.68589095,506,50000,0,synth_dynamic_400-6d132456093980b17c96cf78a775effc,0.25,8,0.007203587500000053,0.033638975000000015,
synth_dynamic_400,80000000,0.01,4,8,tail-age,TINYLFU,,449658.9216486393,506.0,0.68589095,506,50000,0,synth_dynamic_400-a1d87c9ad4613a253bf98d687aa55410,0.02,8,0.007203587500000053,0.033638975000000015,
synth_dynamic_400,80000000,0.01,4,8,tail-age,TINYLFU,,446240.0111256265,506.0,0.68589095,506,50000,0,synth_dynamic_400-7741bba51f1cbd6a1b360b85856ced87,0.1,8,0.007203587500000053,0.033638975000000015,
synth_dynamic_400,80000000,0.01,4,8,marginal-hits,TINYLFU,,467335.1181755664,1598.0,0.7019892375,1598,50000,0,synth_dynamic_400-5acdccf3dc747f4e7fda920a8595ddb8,,8,-0.008894699999999922,0.01754068750000004,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU,,584150.846037392,5.0,0.672927075,5,50000,0,synth_dynamic_400-fd900c7ec29febe3ea693c827455f8b2,0.1,15,0.00879931249999999,0.00879931249999999,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits-tuned,LRU,,546292.4571065524,37.0,0.6691438125,37,50000,0,synth_dynamic_400-41b9e7ae9bd500482eadd534b4ca1297,,15,0.01258257500000004,0.01258257500000004,0.004553099999999977
synth_dynamic_400,80000000,0.02,4,15,free-mem,LRU,,555407.1478112029,,0.6817263875,0,50000,0,synth_dynamic_400-b9fd4daadcc5bc6368e4d33ed3af4caf,,15,0.0,0.0,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits,LRU,,540917.004214573,1598.0,0.6736969125,1598,50000,0,synth_dynamic_400-26d0edd244abb62f848768e9e692a68c,,15,0.008029475000000064,0.008029475000000064,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU,,715837.5212000965,5.0,0.672927075,5,50000,0,synth_dynamic_400-469a7925d209e7249251bd367038eb83,0.02,15,0.00879931249999999,0.00879931249999999,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU,,519342.13237556507,5.0,0.672927075,5,50000,0,synth_dynamic_400-c4c7960ecfadd65f50f7c2b0989964ac,0.05,15,0.00879931249999999,0.00879931249999999,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU,,566267.0499379318,5.0,0.672927075,5,50000,0,synth_dynamic_400-48e1a9c3b5567d883fe593e2bb1fae4b,0.25,15,0.00879931249999999,0.00879931249999999,
synth_dynamic_400,80000000,0.02,4,15,disabled,LRU,,594930.814167549,,0.6817263875,0,50000,0,synth_dynamic_400-89fb00867eb56dc930d396d73c6c8b7b,,15,0.0,0.0,
synth_dynamic_400,80000000,0.02,4,15,hits,LRU,,688963.9068211035,5.0,0.675850925,5,50000,0,synth_dynamic_400-f8c110c11c1b52e528ea14c107aca8bf,0.1,15,0.005875462500000039,0.005875462500000039,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits,LRU2Q,cold,547048.0718881986,783.0,0.659594375,783,50000,0,synth_dynamic_400-22d03bc1bec81b119ffad5045ca09862,,15,-0.0003664374999999831,0.022132012500000076,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU2Q,,596423.8074364563,6.0,0.6581328,6,50000,0,synth_dynamic_400-68e5c9356e06e19a27b379f4f3bc576d,0.02,15,0.0010951375000000096,0.02359358750000007,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU2Q,,575225.2039268869,6.0,0.658148425,6,50000,0,synth_dynamic_400-bba06047d9f24928366fbfb97affbcc0,0.25,15,0.001079512499999935,0.023577962499999994,
synth_dynamic_400,80000000,0.02,4,15,disabled,LRU2Q,,612412.3797547177,,0.6592279375,0,50000,0,synth_dynamic_400-4dd91d1c03160c33d0194ee961b2be75,,15,0.0,0.02249845000000006,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits,LRU2Q,warm-cold,651502.7125500627,1562.0,0.670905975,1562,50000,0,synth_dynamic_400-4aaaae5ebcc9ba326cf15c5bc2dfe557,,15,-0.011678037500000071,0.010820412499999987,
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU2Q,,533230.9478900958,6.0,0.6581328,6,50000,0,synth_dynamic_400-d7a1a5bff17c477c1b7b0951d9411841,0.1,15,0.0010951375000000096,0.02359358750000007,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits-tuned,LRU2Q,warm-cold,511275.2087479244,55.0,0.652655,55,50000,0,synth_dynamic_400-677e310ac154756e8d82b0b15db3d273,,15,0.006572937499999987,0.029071387500000045,0.018250975000000058
synth_dynamic_400,80000000,0.02,4,15,tail-age,LRU2Q,,561939.0709670993,6.0,0.6581328,6,50000,0,synth_dynamic_400-3219c75a74056dbc53fb1c9c5fc1d2bb,0.05,15,0.0010951375000000096,0.02359358750000007,
synth_dynamic_400,80000000,0.02,4,15,free-mem,LRU2Q,,598960.9262149057,,0.6592279375,0,50000,0,synth_dynamic_400-9955ea701d177570964c476cf65b5bae,,15,0.0,0.02249845000000006,
synth_dynamic_400,80000000,0.02,4,15,hits,LRU2Q,,503536.5065394641,5.0,0.6532018625,5,50000,0,synth_dynamic_400-a2d414881adf6c02b1eaf87d3b1a8762,0.1,15,0.006026074999999964,0.028524525000000023,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits-tuned,LRU2Q,cold,548986.445287291,72.0,0.655052825,72,50000,0,synth_dynamic_400-06519c506f12147bd3b6873f4488a516,,15,0.004175112500000022,0.02667356250000008,0.004541550000000005
synth_dynamic_400,80000000,0.02,4,15,disabled,TINYLFU,,536987.4049751231,,0.65921355,0,50000,0,synth_dynamic_400-53891b84ae9d765469f7ed9052bf70ff,,15,0.0,0.022512837499999994,
synth_dynamic_400,80000000,0.02,4,15,tail-age,TINYLFU,,451681.44652349857,1079.0,0.6458457625,1079,50000,0,synth_dynamic_400-6af334fbbe40fb44d75f2f555cbfe953,0.02,15,0.013367787500000006,0.035880625,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits-tuned,TINYLFU,,452008.9507035033,44.0,0.642693525,44,50000,0,synth_dynamic_400-e0e2cbb182a695df21b63cc40e29d4b9,,15,0.01652002500000005,0.03903286250000004,0.01350471249999996
synth_dynamic_400,80000000,0.02,4,15,tail-age,TINYLFU,,469190.0999435267,1079.0,0.6458457625,1079,50000,0,synth_dynamic_400-1cd9b0f683b813c954d7c8ee1964a9a9,0.1,15,0.013367787500000006,0.035880625,
synth_dynamic_400,80000000,0.02,4,15,hits,TINYLFU,,557150.3645886148,5.0,0.65268635,5,50000,0,synth_dynamic_400-38cf3dd4668325707b2a053ec89d5428,0.1,15,0.006527200000000066,0.02904003750000006,
synth_dynamic_400,80000000,0.02,4,15,tail-age,TINYLFU,,457949.5663215108,986.0,0.6450017875,986,50000,0,synth_dynamic_400-4d95c4f4425e34a51ad9fd981b8a8536,0.25,15,0.014211762500000003,0.036724599999999996,
synth_dynamic_400,80000000,0.02,4,15,marginal-hits,TINYLFU,,485457.4564482501,1598.0,0.6561982375,1598,50000,0,synth_dynamic_400-0bfed0d35593b64e863e650c1606017c,,15,0.003015312500000089,0.025528150000000083,
synth_dynamic_400,80000000,0.02,4,15,tail-age,TINYLFU,,454296.4502265325,1079.0,0.6458457625,1079,50000,0,synth_dynamic_400-1cef1a51af3b2da8b0802deba813a468,0.05,15,0.013367787500000006,0.035880625,
synth_dynamic_400,80000000,0.02,4,15,free-mem,TINYLFU,,452607.25901396654,,0.65921355,0,50000,0,synth_dynamic_400-fa04e632f11e926c450b7a9e560de01c,,15,0.0,0.022512837499999994,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU,,605104.0056095939,11.0,0.60621075,11,50000,0,synth_dynamic_400-513259fe14c3ac86e5534ee83fc01627,0.25,30,0.024267687499999968,0.024267687499999968,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU,,575081.7021084777,11.0,0.60621075,11,50000,0,synth_dynamic_400-ca38f7c71d740cdfd2b29f3e7826f981,0.1,30,0.024267687499999968,0.024267687499999968,
synth_dynamic_400,80000000,0.04,4,30,free-mem,LRU,,573676.8297285847,,0.6304784375,0,50000,0,synth_dynamic_400-4efe4e53b77499f820d18cd9c52d8314,,30,0.0,0.0,
synth_dynamic_400,80000000,0.04,4,30,hits,LRU,,605416.5696056926,15.0,0.6297929625,15,50000,0,synth_dynamic_400-a350470daa87a2598ada84f50fc94b2f,0.1,30,0.0006854749999999354,0.0006854749999999354,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU,,614434.8693034896,11.0,0.60621075,11,50000,0,synth_dynamic_400-24c86df2a8046b26055c757be9a59390,0.05,30,0.024267687499999968,0.024267687499999968,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits-tuned,LRU,,510654.3772161253,106.0,0.5956874625,106,50000,0,synth_dynamic_400-607f2d5cc8ef856afad92ece65af27a8,,30,0.034790974999999946,0.034790974999999946,0.005444137499999946
synth_dynamic_400,80000000,0.04,4,30,disabled,LRU,,586718.4055272763,,0.6304784375,0,50000,0,synth_dynamic_400-f9252e2cff4f73fb7551aadc22d8501e,,30,0.0,0.0,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU,,564649.0003805655,11.0,0.60621075,11,50000,0,synth_dynamic_400-2d6eaef5a74f5b0f58260279658f09e3,0.02,30,0.024267687499999968,0.024267687499999968,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits,LRU,,592922.2243389292,1596.0,0.6011316,1596,50000,0,synth_dynamic_400-0368829b6db92b8cd81a7b9ac9c25327,,30,0.0293468375,0.0293468375,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits-tuned,LRU2Q,warm-cold,487105.4238893709,78.0,0.5834650875,78,50000,0,synth_dynamic_400-2d30940db8e2637417bc7068527b1597,,30,0.028739224999999924,0.047013349999999954,0.016673387499999914
synth_dynamic_400,80000000,0.04,4,30,marginal-hits,LRU2Q,cold,545194.7508156045,834.0,0.5845824125,834,50000,0,synth_dynamic_400-30ddff0d43232110858557bc45b404fa,,30,0.027621899999999977,0.04589602500000001,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU2Q,,500454.5441047484,14.0,0.6152377625,14,50000,0,synth_dynamic_400-0a0abe86176a4a41144068cf08ad9ff4,0.25,30,-0.003033449999999993,0.015240675000000037,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU2Q,,621001.9453025274,16.0,0.610541225,16,50000,0,synth_dynamic_400-6ac4ded75e8a0e62ecbea8b530f6f9d7,0.05,30,0.0016630874999999934,0.019937212500000023,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits-tuned,LRU2Q,cold,612404.4281503982,80.0,0.5788887625,80,50000,0,synth_dynamic_400-ac3b8442ac2e273b5f282b029f086ed9,,30,0.03331554999999997,0.051589675,0.0056936499999999945
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU2Q,,577545.4749489063,14.0,0.610625,14,50000,0,synth_dynamic_400-6ca81da60cf999132b428eb7f95f7288,0.02,30,0.0015793124999999852,0.019853437500000015,
synth_dynamic_400,80000000,0.04,4,30,tail-age,LRU2Q,,462168.3830808942,15.0,0.6127521125,15,50000,0,synth_dynamic_400-b9a4281672e7ae47a1146f119d7065b3,0.1,30,-0.0005477999999999872,0.017726325000000043,
synth_dynamic_400,80000000,0.04,4,30,hits,LRU2Q,,566986.755142666,13.0,0.61195,13,50000,0,synth_dynamic_400-b6bf877bf7b162b97ffaf8a008019694,0.1,30,0.00025431249999996464,0.018528437499999995,
synth_dynamic_400,80000000,0.04,4,30,free-mem,LRU2Q,,502576.1209106313,,0.6122043125,0,50000,0,synth_dynamic_400-f8c3d8f8a2e3919c0b5d97cbdb384146,,30,0.0,0.01827412500000003,
synth_dynamic_400,80000000,0.04,4,30,disabled,LRU2Q,,588310.6814163334,,0.6122043125,0,50000,0,synth_dynamic_400-0b3cf6ab0e7fd31432a60616738ce180,,30,0.0,0.01827412500000003,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits,LRU2Q,warm-cold,633707.8941518463,1596.0,0.600138475,1596,50000,0,synth_dynamic_400-67199b41f9746e13ebe7ee359c5d4ce0,,30,0.01206583750000001,0.03033996250000004,
synth_dynamic_400,80000000,0.04,4,30,hits,TINYLFU,,514862.75989920937,13.0,0.610535975,13,50000,0,synth_dynamic_400-a1f30624612e927ff827126ca73691e6,0.1,30,0.0010371500000000422,0.01994246249999998,
synth_dynamic_400,80000000,0.04,4,30,marginal-hits-tuned,TINYLFU,,420262.0146879279,94.0,0.5692133,94,50000,0,synth_dynamic_400-617177b1c57a831727a3aff302be5788,,30,0.04235982500000002,0.061265137499999955,0.013395112499999917
synth_dynamic_400,80000000,0.04,4,30,marginal-hits,TINYLFU,,490156.2825106456,1596.0,0.5826084125,1596,50000,0,synth_dynamic_400-517f4e6741dae7b35e8069728455a48e,,30,0.0289647125000001,0.04787002500000004,
synth_dynamic_400,80000000,0.04,4,30,disabled,TINYLFU,,468376.8662320807,,0.611573125,0,50000,0,synth_dynamic_400-11f71e9a5709a10f66d4775c7eb90d78,,30,0.0,0.018905312499999938,
synth_dynamic_400,80000000,0.04,4,30,tail-age,TINYLFU,,551052.8116296711,1096.0,0.58854615,1096,50000,0,synth_dynamic_400-f09db74bef9ce7e0077f908bfdb45dc1,0.25,30,0.02302697500000006,0.0419322875,
synth_dynamic_400,80000000,0.04,4,30,tail-age,TINYLFU,,442034.3770306527,1270.0,0.5889559,1270,50000,0,synth_dynamic_400-c7f2deca34a8ab0cb5c5f69291ca8002,0.05,30,0.022617225000000074,0.04152253750000001,
synth_dynamic_400,80000000,0.04,4,30,free-mem,TINYLFU,,467491.5224016187,,0.611573125,0,50000,0,synth_dynamic_400-dd86e7300661adee91038f8d9da77a33,,30,0.0,0.018905312499999938,
synth_dynamic_400,80000000,0.04,4,30,tail-age,TINYLFU,,493078.219706483,1259.0,0.58846555,1259,50000,0,synth_dynamic_400-bd0b796e8e11b733fc5591b56cec605d,0.1,30,0.023107575000000047,0.042012887499999985,
synth_dynamic_400,80000000,0.04,4,30,tail-age,TINYLFU,,452312.4157988221,1270.0,0.5889559,1270,50000,0,synth_dynamic_400-1a61db681b6586d7766dce71c1d5af3d,0.02,30,0.022617225000000074,0.04152253750000001,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits,LRU,,595729.3381094054,1590.0,0.4448077375,1590,50000,0,synth_dynamic_400-98bc160017310cf2b1266b00b970283b,,75,0.09208490000000003,0.09208490000000003,
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU,,656358.178380806,28.0,0.477017325,28,50000,0,synth_dynamic_400-a8758582247d05b3fddc76a2eadd4857,0.05,75,0.059875312500000055,0.059875312500000055,
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU,,518053.6518291563,24.0,0.4797894125,24,50000,0,synth_dynamic_400-3964f31fc7e1c3ba906eda7f67b6e62b,0.25,75,0.057103225000000035,0.057103225000000035,
synth_dynamic_400,80000000,0.1,4,75,hits,LRU,,571838.911006154,56.0,0.5158171625,56,50000,0,synth_dynamic_400-d5b1bf369152e25cb8a1e07d890f0080,0.1,75,0.021075475000000066,0.021075475000000066,
synth_dynamic_400,80000000,0.1,4,75,disabled,LRU,,551565.2819641347,,0.5368926375,0,50000,0,synth_dynamic_400-959f9577045781bdae907396aafdd4e9,,75,0.0,0.0,
synth_dynamic_400,80000000,0.1,4,75,free-mem,LRU,,610170.253778545,,0.5368926375,0,50000,0,synth_dynamic_400-83076812315d2daf3db6eaa28575b5d8,,75,0.0,0.0,
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU,,565128.7618507274,28.0,0.477003425,28,50000,0,synth_dynamic_400-9d32814512fe2ff9225f0fccdcf68fdc,0.1,75,0.059889212500000066,0.059889212500000066,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits-tuned,LRU,,572340.1556927566,214.0,0.4396088,214,50000,0,synth_dynamic_400-015f9eb9ac91a9c092ef31a325190dd1,,75,0.09728383750000003,0.09728383750000003,0.0051989375
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU,,601921.3806756508,28.0,0.477017325,28,50000,0,synth_dynamic_400-f0bc22c4e47f3cbafe1b24aa0296dd72,0.02,75,0.059875312500000055,0.059875312500000055,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits,LRU2Q,cold,579510.8829575934,848.0,0.4327740375,848,50000,0,synth_dynamic_400-bfe2ffda4d452e7b00ce2e6a5f1b396f,,75,0.09117111249999998,0.10411860000000006,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits-tuned,LRU2Q,cold,541631.8447181148,114.0,0.42838675,114,50000,0,synth_dynamic_400-d790d104112dea5887823b94a306f378,,75,0.09555839999999999,0.10850588750000006,0.004387287500000003
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU2Q,,649552.1489473524,64.0,0.47293875,64,50000,0,synth_dynamic_400-193ca1746464f8a991c469a95ab202ae,0.25,75,0.05100639999999995,0.06395388750000003,
synth_dynamic_400,80000000,0.1,4,75,hits,LRU2Q,,536022.0551177036,56.0,0.4973750875,56,50000,0,synth_dynamic_400-23ec6663a367006c9c09ceae7e9c50ff,0.1,75,0.02657006249999999,0.03951755000000007,
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU2Q,,574669.9854379934,73.0,0.4703242375,73,50000,0,synth_dynamic_400-b6a8c18b8a352fdbdef0b3fb37152dc2,0.05,75,0.05362091249999995,0.06656840000000003,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits-tuned,LRU2Q,warm-cold,744770.1470415153,201.0,0.433203425,201,50000,0,synth_dynamic_400-ec44e4c08573efb18f784171eac131d3,,75,0.090741725,0.10368921250000007,0.012844149999999999
synth_dynamic_400,80000000,0.1,4,75,marginal-hits,LRU2Q,warm-cold,530084.7581309341,1590.0,0.446047575,1590,50000,0,synth_dynamic_400-d5857fa7dbb6e128472b7f17c489c00d,,75,0.077897575,0.09084506250000007,
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU2Q,,701336.3594049163,76.0,0.4660492,76,50000,0,synth_dynamic_400-0f7a01c9bc0ed44f80bb27e973da27f9,0.02,75,0.057895949999999974,0.07084343750000005,
synth_dynamic_400,80000000,0.1,4,75,tail-age,LRU2Q,,616554.8636347227,70.0,0.4698424875,70,50000,0,synth_dynamic_400-e83c2da51ff1220cc256228d43121934,0.1,75,0.054102662499999954,0.06705015000000003,
synth_dynamic_400,80000000,0.1,4,75,disabled,LRU2Q,,496391.5441376647,,0.52394515,0,50000,0,synth_dynamic_400-0725058be31f6b9a00bf610a27df52a1,,75,0.0,0.012947487500000077,
synth_dynamic_400,80000000,0.1,4,75,free-mem,LRU2Q,,622116.6581213758,,0.52394515,0,50000,0,synth_dynamic_400-332fdc8f6932674a78dd84b606fc905a,,75,0.0,0.012947487500000077,
synth_dynamic_400,80000000,0.1,4,75,free-mem,TINYLFU,,502749.1389626463,,0.5170578125,0,50000,0,synth_dynamic_400-4a7bc5663f6cd2ec5f2af7d78441b14a,,75,0.0,0.019834825,
synth_dynamic_400,80000000,0.1,4,75,tail-age,TINYLFU,,590701.226754701,1203.0,0.4630467625,1203,50000,0,synth_dynamic_400-d4d275627293986d6da9ef51dc3c22ee,0.05,75,0.05401105000000006,0.07384587500000006,
synth_dynamic_400,80000000,0.1,4,75,tail-age,TINYLFU,,487744.8163193639,1137.0,0.462144775,1137,50000,0,synth_dynamic_400-958d4fa25dce6b5b8d1ad0c7cf228892,0.1,75,0.05491303750000004,0.07474786250000004,
synth_dynamic_400,80000000,0.1,4,75,tail-age,TINYLFU,,490049.39645566745,1107.0,0.463461225,1107,50000,0,synth_dynamic_400-d0a06c52cbca80f40c31ad07ef960086,0.25,75,0.05359658750000007,0.07343141250000007,
synth_dynamic_400,80000000,0.1,4,75,disabled,TINYLFU,,512065.07580572553,,0.5170578125,0,50000,0,synth_dynamic_400-e15695d7f91dadf8b6a12a12d6361208,,75,0.0,0.019834825,
synth_dynamic_400,80000000,0.1,4,75,hits,TINYLFU,,519835.8864047659,57.0,0.4793716875,57,50000,0,synth_dynamic_400-0e6ef1d1febf7f7a4472e484ec440e42,0.1,75,0.03768612500000007,0.05752095000000007,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits,TINYLFU,,426012.2188279415,1590.0,0.42931675,1590,50000,0,synth_dynamic_400-c30cf6cb9e8b08dd74fe8e9201a55275,,75,0.08774106250000002,0.10757588750000002,
synth_dynamic_400,80000000,0.1,4,75,tail-age,TINYLFU,,607461.8870291831,1251.0,0.462560025,1251,50000,0,synth_dynamic_400-a69d9b09d9085ba6835604fa4f3c2691,0.02,75,0.05449778750000006,0.07433261250000006,
synth_dynamic_400,80000000,0.1,4,75,marginal-hits-tuned,TINYLFU,,493847.0091501408,208.0,0.4139252125,208,50000,0,synth_dynamic_400-eb8cfa456f71ba4af022fe55c1e631b0,,75,0.10313260000000007,0.12296742500000007,0.015391537500000052
synth_dynamic_400,80000000,0.2,4,149,hits,LRU,,564487.0076186996,136.0,0.3108476625,136,50000,0,synth_dynamic_400-829320469b299a0dd6263565677ac005,0.1,149,0.10616487499999999,0.10616487499999999,
synth_dynamic_400,80000000,0.2,4,149,tail-age,LRU,,529369.2844314906,48.0,0.3250405625,48,50000,0,synth_dynamic_400-b44ed11040e0650407699afe940347bc,0.05,149,0.09197197499999998,0.09197197499999998,
