trace_name,number_of_requests,wsr,slab_size,slab_cnt,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,rebalanceDiffRatio,slab_cnt.1,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
synth_dynamic_400,80000000,0.1,4,75,marginal-hits-tuned,TINYLFU,,493847.0091501408,208.0,0.4139252125,208,50000,0,synth_dynamic_400-eb8cfa456f71ba4af022fe55c1e631b0,,75,0.1031326,0.122967425,0.0153915375
synth_dynamic_400,80000000,0.2,4,149,hits,LRU,,564487.0076186996,136.0,0.3108476625,136,50000,0,synth_dynamic_400-829320469b299a0dd6263565677ac005,0.1,149,0.1061648749999999,0.1061648749999999,
synth_dynamic_400,80000000,0.2,4,149,disabled,LRU,,594811.3433742806,,0.4170125375,0,50000,0,synth_dynamic_400-ef2a107a864aec3defebacf4581eb299,,149,0.0,0.0,
synth_dynamic_400,80000000,0.2,4,149,marginal-hits-tuned,LRU,,490133.84481565707,240.0,0.274604325,240,50000,0,synth_dynamic_400-eff5c275406200a339b9b401ca7cd391,,149,0.1424082125,0.1424082125,0.0048765375
synth_dynamic_400,80000000,0.2,4,149,free-mem,LRU,,599355.4209320113,,0.4170125375,0,50000,0,synth_dynamic_400-d2069cd411b656afbe5fb14ab5c6aeca,,149,0.0,0.0,
synth_dynamic_400,80000000,0.2,4,149,tail-age,LRU,,558576.2088184664,41.0,0.3229219375,41,50000,0,synth_dynamic_400-4d8ed6d7f79f2d9bb82188b8262e84e1,0.25,149,0.0940906,0.0940906,
synth_dynamic_400,80000000,0.2,4,149,marginal-hits,LRU,,529382.0928952385,1574.0,0.2794808625,1574,50000,0,synth_dynamic_400-d448c9a0a8779b9af3e338ad8370c18d,,149,0.137531675,0.137531675,
synth_dynamic_400,80000000,0.2,4,149,hits,LRU2Q,,621607.7566337296,137.0,0.30472,137,50000,0,synth_dynamic_400-b8d523f545281d693858ed85c9a93d1b,0.1,149,0.10520815,0.1122925375,
synth_dynamic_400,80000000,0.2,4,149,marginal-hits-tuned,LRU2Q,cold,479908.4490879742,229.0,0.268737225,229,50000,0,synth_dynamic_400-f736f1be3431834c084a9dcf9b3518de,,149,0.1411909249999999,0.1482753124999999,0.0086478249999999
synth_dynamic_400,80000000,0.2,4,149,free-mem,LRU2Q,,573906.4541690616,,0.40992815,0,50000,0,synth_dynamic_400-13de678afa38afaa11a43d6b8ba65240,,149,0.0,0.0070843875,
synth_dynamic_400,80000000,0.2,4,149,disabled,LRU2Q,,614523.6998774018,,0.40992815,0,50000,0,synth_dynamic_400-fb7763bec6c775d0e865571551ef82da,,149,0.0,0.0070843875,
synth_dynamic_400,80000000,0.2,4,149,tail-age,LRU2Q,,584616.2747707873,152.0,0.2978426125,152,50000,0,synth_dynamic_400-b37f83591f17a672784757ca9de6928e,0.25,149,0.1120855375,0.119169925,
synth_dynamic_400,80000000,0.2,4,149,marginal-hits,LRU2Q,cold,758865.5664036071,1574.0,0.27738505,1574,50000,0,synth_dynamic_400-3e98cfc0ba6b089c26441b4700c688c1,,149,0.1325430999999999,0.1396274874999999,
synth_dynamic_400,80000000,0.2,4,149,marginal-hits-tuned,TINYLFU,,467149.3381857402,804.0,0.2790845875,804,50000,0,synth_dynamic_400-af0a78e7afffc810886b3d85077aa4c6,,149,0.1233176875,0.13792795,0.0045736749999999
synth_dynamic_400,80000000,0.2,4,149,hits,TINYLFU,,510467.10080904816,143.0,0.300460575,143,50000,0,synth_dynamic_400-40f4719011577a75db87ef9607247912,0.1,149,0.1019416999999999,0.1165519625,
synth_dynamic_400,80000000,0.2,4,149,disabled,TINYLFU,,567252.587798302,,0.402402275,0,50000,0,synth_dynamic_400-0d68c9ab57512f43347468ec2be3ca04,,149,0.0,0.0146102625,
synth_dynamic_400,80000000,0.2,4,149,marginal-hits,TINYLFU,,593179.0510128358,1574.0,0.2836582625,1574,50000,0,synth_dynamic_400-2f5f975033ecbbc15ecfdc53ff87cfc0,,149,0.1187440125,0.133354275,
synth_dynamic_400,80000000,0.2,4,149,tail-age,TINYLFU,,509658.5608042015,893.0,0.3193881,893,50000,0,synth_dynamic_400-9b65955cb988f8c99b914522ecb8f658,0.25,149,0.0830141749999999,0.0976244375,
synth_dynamic_400,80000000,0.2,4,149,free-mem,TINYLFU,,493400.1293275675,,0.402402275,0,50000,0,synth_dynamic_400-2b37f2ecfdcdc9a16273bff89a386a22,,149,0.0,0.0146102625,
synth_dynamic_400,80000000,0.4,4,297,hits,LRU,,544875.6989328103,134.0,0.1856645375,134,50000,0,synth_dynamic_400-37cbd11e15acb1171c9140d4553825bb,0.1,297,0.0177300125,0.0177300125,
synth_dynamic_400,80000000,0.4,4,297,disabled,LRU,,619350.591724373,,0.20339455,0,50000,0,synth_dynamic_400-ee7fcbc8dbdb7fdf82f34d98628d3dcd,,297,0.0,0.0,
synth_dynamic_400,80000000,0.4,4,297,marginal-hits,LRU,,551932.5272584688,1478.0,0.1355107875,1478,50000,0,synth_dynamic_400-53d86a0cd15f2fc3e49b7fde39c1b244,,297,0.0678837625,0.0678837625,
synth_dynamic_400,80000000,0.4,4,297,marginal-hits-tuned,LRU,,604113.8784919512,463.0,0.1321456375,463,50000,0,synth_dynamic_400-72bb2f939f87fc98778da20a5c16b0be,,297,0.0712489125,0.0712489125,0.00336515
synth_dynamic_400,80000000,0.4,4,297,tail-age,LRU,,570802.7028345005,67.0,0.157216375,67,50000,0,synth_dynamic_400-8775bc5f8d24656c16bb03a778da13a1,0.25,297,0.046178175,0.046178175,
synth_dynamic_400,80000000,0.4,4,297,free-mem,LRU,,539424.1607334005,,0.20339455,0,50000,0,synth_dynamic_400-2a9e0a5ab1fdfddaaa526e7efb249a35,,297,0.0,0.0,
synth_dynamic_400,80000000,0.4,4,297,marginal-hits-tuned,LRU2Q,cold,492157.3741921945,543.0,0.1338669,543,50000,0,synth_dynamic_400-8632c6683b5b22ac9d4998010a8378ed,,297,0.0719029249999999,0.06952765,0.0050695374999999
synth_dynamic_400,80000000,0.4,4,297,hits,LRU2Q,,512694.4924649674,125.0,0.1880954,125,50000,0,synth_dynamic_400-ddcfa56ea91874595e53b03e12426db9,0.1,297,0.0176744249999999,0.01529915,
synth_dynamic_400,80000000,0.4,4,297,marginal-hits,LRU2Q,cold,588022.3922571535,1495.0,0.1389364375,1495,50000,0,synth_dynamic_400-70f7e184892759a58e002733a4d1e463,,297,0.0668333874999999,0.0644581125,
synth_dynamic_400,80000000,0.4,4,297,free-mem,LRU2Q,,561025.8824905838,,0.205769825,0,50000,0,synth_dynamic_400-148b9b486354fddc81853af6ce29fe93,,297,0.0,-0.0023752749999999,
synth_dynamic_400,80000000,0.4,4,297,disabled,LRU2Q,,529070.2892973382,,0.205769825,0,50000,0,synth_dynamic_400-e6285e3ebd8c30f872f2895737df4343,,297,0.0,-0.0023752749999999,
synth_dynamic_400,80000000,0.4,4,297,tail-age,LRU2Q,,693692.8706235093,153.0,0.1861227875,153,50000,0,synth_dynamic_400-ccb07fe22dfd1409a6b24a9823516b94,0.25,297,0.0196470374999999,0.0172717625,
synth_dynamic_400,80000000,0.4,4,297,marginal-hits,TINYLFU,,617489.3336635559,1482.0,0.1475998375,1482,50000,0,synth_dynamic_400-292cec75e8e629613e0cf0d836c7d94c,,297,0.076696175,0.0557947125,
synth_dynamic_400,80000000,0.4,4,297,marginal-hits-tuned,TINYLFU,,583668.2609901992,625.0,0.1480991875,625,50000,0,synth_dynamic_400-7b83d5d8e3fb87f2d37bc56dd6eafb10,,297,0.076196825,0.0552953625,-0.00049935
synth_dynamic_400,80000000,0.4,4,297,hits,TINYLFU,,484481.0205229764,139.0,0.2014394125,139,50000,0,synth_dynamic_400-74d9d11b46839ba485e0da778c1a51bf,0.1,297,0.0228566,0.0019551375,
synth_dynamic_400,80000000,0.4,4,297,tail-age,TINYLFU,,601560.6804315054,502.0,0.17956325,502,50000,0,synth_dynamic_400-68f11a9224367d5d3079baeba27a0078,0.25,297,0.0447327624999999,0.0238313,
synth_dynamic_400,80000000,0.4,4,297,disabled,TINYLFU,,487276.8113252912,,0.2242960125,0,50000,0,synth_dynamic_400-bc35e46f6652db1554adfa5848f9ce3d,,297,0.0,-0.0209014624999999,
synth_dynamic_400,80000000,0.4,4,297,free-mem,TINYLFU,,544292.9953018503,,0.2242960125,0,50000,0,synth_dynamic_400-16598a804384f7c61caa3c85e755ed85,,297,0.0,-0.0209014624999999,
synth_dynamic_400,80000000,0.8,4,593,hits,LRU,,569479.7174198912,75.0,0.07465415,75,50000,0,synth_dynamic_400-c3cec4f2f7ae38550ff7ca1ada441991,0.1,593,-0.00244155,-0.00244155,
synth_dynamic_400,80000000,0.8,4,593,marginal-hits-tuned,LRU,,520694.345561201,,0.0722126,0,50000,0,synth_dynamic_400-1d459708504e096fc78000c8f13e8a38,,593,0.0,0.0,0.012549475
synth_dynamic_400,80000000,0.8,4,593,disabled,LRU,,776247.5013439768,,0.0722126,0,50000,0,synth_dynamic_400-d220a0d2c815449feedc8fe2b7c626ef,,593,0.0,0.0,
synth_dynamic_400,80000000,0.8,4,593,tail-age,LRU,,656209.4778310189,140.0,0.0785792375,140,50000,0,synth_dynamic_400-ae4cb92ed997d5169cde570d77fb0caa,0.25,593,-0.0063666374999999,-0.0063666374999999,
synth_dynamic_400,80000000,0.8,4,593,free-mem,LRU,,681929.8618688066,,0.0722126,0,50000,0,synth_dynamic_400-afbb3e59fa8d4edba1a0afb36f903ec8,,593,0.0,0.0,
synth_dynamic_400,80000000,0.8,4,593,marginal-hits,LRU,,622913.1646063058,286.0,0.084762075,286,50000,0,synth_dynamic_400-ddd423b2797a16cedd6405343049e04e,,593,-0.012549475,-0.012549475,
synth_dynamic_400,80000000,0.8,4,593,hits,LRU2Q,,621276.1999885029,70.0,0.0863314625,70,50000,0,synth_dynamic_400-91ba5a8c0501bfec0ac604f386e59fc6,0.1,593,-0.0092069374999999,-0.0141188624999999,
synth_dynamic_400,80000000,0.8,4,593,free-mem,LRU2Q,,672771.6175654016,,0.077124525,0,50000,0,synth_dynamic_400-9bd362560e1256b47cf96b10f879d94e,,593,0.0,-0.0049119249999999,
synth_dynamic_400,80000000,0.8,4,593,marginal-hits-tuned,LRU2Q,cold,636338.7107579561,117.0,0.07710405,117,50000,0,synth_dynamic_400-df9ccd93424dd82d53228777ca689b22,,593,2.0475000000005905e-05,-0.0048914499999999,0.005856275
synth_dynamic_400,80000000,0.8,4,593,tail-age,LRU2Q,,660744.9089759956,172.0,0.0956726625,172,50000,0,synth_dynamic_400-f21164d9e9935d7148cd8935bdefaecc,0.25,593,-0.0185481375,-0.0234600625,
synth_dynamic_400,80000000,0.8,4,593,disabled,LRU2Q,,699163.8193427689,,0.077124525,0,50000,0,synth_dynamic_400-e8e7b01798ce9b0f13c04b9890d0a9ac,,593,0.0,-0.0049119249999999,
synth_dynamic_400,80000000,0.8,4,593,marginal-hits,LRU2Q,cold,605007.8622948221,369.0,0.082960325,369,50000,0,synth_dynamic_400-2d125071771a5b0cb04d24d4dab4a90d,,593,-0.0058358,-0.010747725,
synth_dynamic_400,80000000,0.8,4,593,marginal-hits-tuned,TINYLFU,,643140.4471216254,75.0,0.0878607125,75,50000,0,synth_dynamic_400-523afbe8b58a4ef47190009d8580cac7,,593,0.002445425,-0.0156481124999999,-0.0011282999999999
synth_dynamic_400,80000000,0.8,4,593,free-mem,TINYLFU,,548484.0239827215,,0.0903061375,0,50000,0,synth_dynamic_400-60b4ad0d6748bd640d143271fdd816df,,593,0.0,-0.0180935374999999,
